english,korean,category,example,review_level
add,add의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,addUserData(),1
append,append의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,appendUserData(),1
apply,apply의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,applyUserData(),1
assign,assign의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,assignUserData(),1
bind,bind의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,bindUserData(),1
build,build의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,buildUserData(),1
cache,cache의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,cacheUserData(),1
cancel,cancel의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,cancelUserData(),1
capture,capture의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,captureUserData(),1
cast,cast의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,castUserData(),1
commit,commit의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,commitUserData(),1
compare,compare의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,compareUserData(),1
compile,compile의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,compileUserData(),1
configure,configure의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,configureUserData(),1
connect,connect의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,connectUserData(),1
convert,convert의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,convertUserData(),1
create,create의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,createUserData(),1
decode,decode의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,decodeUserData(),1
delete,delete의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,deleteUserData(),1
dismiss,dismiss의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,dismissUserData(),1
display,display의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,displayUserData(),1
encode,encode의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,encodeUserData(),1
execute,execute의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,executeUserData(),1
fetch,fetch의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,fetchUserData(),1
filter,filter의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,filterUserData(),1
generate,generate의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,generateUserData(),1
handle,handle의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,handleUserData(),1
initialize,initialize의 개발 문맥 의미를 Swift/iOS 상황에서 이해한다,verb,initializeUserData(),1
